curtain_id,title,image_path,contenxt,choices1,choices1_jump,choices2,choices2_jump,choices3,choices3_jump,flag
110,纹身传送,,"""你拨开身上的鹿毛，摸到了背上那个前妻留下的神秘纹身。纹身发出了绿光（就像你的头顶一样），传送门开启，你被吸了进去。""",......(被传送),112,,,,,
111,肉麻情书,,"""你打开信封，里面是你以前写给前妻的情书，肉麻得让人想吐。你被自己的文笔恶心晕了过去。""",......(昏迷),112,,,,,
112,前妻森林,res://1基纳Kenner/4前妻森林/前妻森林.png,"""你再次睁开眼，身处一片迷雾森林，面前是你的前妻。她是这个马头世界里唯一保留着人脸的生物，但这更恐怖。她手里拿着手术刀，正缓缓向你走来。""",快跑！鹿腿跑得快！,113,发出鹿的哀鸣,113,跪下磕头,113,
113,无处可逃,res://1基纳Kenner/5前妻森林下/前妻森林下.png,"""你要知道，如果一个人能在你拉屎的时候在边上化妆，那意味着你做任何事都是徒劳的。她一步步逼近，完全无视了你的鹿角威慑。""",听听她要放什么屁,114,,,,,
114,宇宙间谍,res://1基纳Kenner/6前妻对话/前妻对话.png,"""“别动。”她说，“我是宇宙保卫队的间谍。世界变成了马，是因为有人篡改了现实。而你，这只唯一的鹿，你的**超级扁桃体**里藏着还原现实的抗体。”""",我相信爱，和前妻接吻,115,,,,,
115,扁桃体失窃,,"""她又骗了你。她是个宇宙大盗，不是为了抗体，她只是听说鹿的扁桃体泡酒能壮阳。她那经过生化改造的唾液把你麻翻了，准备噶了你的扁桃体。""",这臭娘们太坏了,116,,,,,
116,华南五虎,res://1基纳Kenner/8复仇/复仇.png,"""“嘿，醒醒，鹿兄。”你醒了，扁桃体没了，喉咙漏风。围着你的是“华南五虎”（另外四个去买烟了，只剩下一只老虎）。那是华强北老板派来救你的。""",谢谢虎哥，我想报仇,117,,,,,
117,复仇誓言,res://1基纳Kenner/10远方/远方.png,"""你失去了扁桃体，那是你作为鹿最后的尊严。在这个指鹿为马的荒诞世界里，你决定踏上复仇之路。为了扁桃体，为了变回人，或者为了把大家都变成鹿。""",骑上老虎，出发！,118,,,,,
118,骑虎难下,res://1基纳Kenner/10远方/远方.png,"""你四蹄踏在华南虎的背上，感觉比两条腿走路稳当多了。虎哥递给你一根烟，你用鹿角接住。前面是茫茫的马头人海，你深吸一口气，冲了出去。""",向北边的马群冲锋,119,向南边的草地进发,119,,,
119,广场舞危机,,"""路中间挡着一个正在跳广场舞的斑马头大妈。大妈看见你骑虎而来，冷笑一声，从肚脐眼里掏出一把RPG火箭筒。“哪里来的野鹿？”她嘶鸣道。""",低下头，用鹿角撞死她,120,让虎哥吼她,120,,,
120,高速公路,,"""解决了大妈，你们冲上了“反刍高速公路”。这里没有车，只有无数奔跑的马头人。他们在超车道上狂奔，像是在赶着去投胎。虎哥问你：“鹿兄，我们去哪？”""",去那个最大的烟囱,121,,,,,
121,收费站哲学,,"""前方是收费站。收费员是一匹老马，戴着墨镜。他拦住你们：“这里不收钱，只收梦想。把你的考研准考证交出来。”""",我没有准考证，只有鹿角,122,让虎哥咬他,123,,,
122,鹿角通关,,"""老马摸了摸你的鹿角，叹了口气：“真硬啊，像我年轻时的脾气。过去吧，可怜的鹿。”栏杆抬起，你们继续前行。""",谢了，老马,124,,,,,
123,强行闯关,,"""虎哥不想废话，一口咬碎了栏杆。警报声大作，但你们已经绝尘而去。这就是强者的世界，不解释。""",虎哥牛逼,124,,,,,
124,工厂阴影,,"""终于，你们来到了“以马内利强力胶水厂”脚下。巨大的烟囱喷吐着绿色的烟雾，那是你前妻的香水味。你的扁桃体在召唤你。""",这味道太冲了,125,,,,,
125,潜入计划,,"""工厂门口全是守卫。虎哥说：“鹿兄，正面刚是不行的。看见那个排污口了吗？我们可以钻进去。”""",钻排污口，我是专业的,126,我是鹿，要有尊严地走正门,127,,,
126,下水道奇遇,,"""下水道里流淌着失败者的泪水。你遇到了一只变异的鸭子，它告诉你：“胶水厂其实是个谎言，他们在提炼‘焦虑’。”""",无视鸭子，继续爬,128,,,,,
127,正门突袭,,"""你刚走到正门，就被几百个马头人围住了。虎哥叹了口气：“我就知道会这样。”然后开始了无双乱舞。""",趁乱溜进去,128,,,,,
128,核心车间,,"""你进入了车间。巨大的锅炉里煮着无数的参考书和试卷，蒸汽凝结成胶水。马头工人们表情呆滞，机械地重复着“上岸、上岸”的口号。""",太可怕了,129,,,,,
129,真相大白,,"""你在墙上看到了一张配方表：《强力胶水成分：99%的焦虑 + 1%的扁桃体提取物》。原来，你的扁桃体是固化焦虑的关键触媒！""",不可原谅！,130,,,,,
130,前妻的演讲,,"""透过玻璃，你看到前妻站在高台上演讲：“只要用了这种胶水，你们的脑子就会被粘住，永远感觉不到痛苦！我们将创造一个完美的马头世界！”""",放屁！,131,,,,,
131,暴露行踪,,"""你愤怒的鹿鸣惊动了警卫。前妻转过头，露出诡异的笑容：“哦，我亲爱的鹿前夫，你终于来送死了。我正缺这点药引子呢。”""",把扁桃体还给我！,132,,,,,
132,机械降神,,"""前妻按下一个按钮，她脚下的讲台变形了，变成了一个巨大的机械马头机甲！“感受科技的力量吧，你这只原始的反刍动物！”""",这不科学！,133,,,,,
133,虎哥的决意,,"""机甲发射了“落榜光线”。华南虎哥挡在你面前，被击中了。虎哥的身影开始淡化：“鹿兄，我其实也是你考研压力产生的幻觉...但我这一刻是真的...”""",虎哥！！不要死！,134,,,,,
134,觉醒时刻,,"""虎哥消失了，化作一道金光钻进了你的鹿角。你感到力量涌上来。这不再是普通的鹿角，这是承载了所有落榜生怨念的“复仇之角”！""",跟他拼了！,135,,,,,
135,鹿角冲撞,,"""你低头，向机械马发起了冲锋。鹿角像钻头一样击穿了机甲的装甲。前妻尖叫着从驾驶舱跌落，手里还紧紧抓着装扁桃体的罐子。""",最后一击,136,,,,,
136,破碎的罐子,,"""机甲爆炸的冲击波震碎了罐子。扁桃体飞到了半空中，划出一道红色的抛物线。前妻伸手去抓，你同时也伸出了蹄子。""",就是现在！,137,,,,,
137,吞噬,,"""你一口吞下了自己的扁桃体！久违的完整感回到了身体里。焦虑、恐惧、希望，所有情绪混合在一起。你的身体开始发光。""",发生什么了？,138,,,,,
138,世界的崩塌,,"""随着扁桃体归位，工厂开始崩塌。那些被煮烂的试卷飞满天，变成了雪花。马头人们停止了工作，茫然地看着天空。""",这是...雪？,139,,,,,
139,光芒中的选择,,"""光芒中，一个宏大的声音响起：“你找回了自我，但这真的很痛苦。你可以选择重塑这个世界。”""",我要怎样的世界？,140,,,,,
140,终极抉择,res://3瑞天/图片/buttons.png,"""摆在你面前有三个按钮：但你并不清楚这些按钮按下后会发生什么""",红色按钮,141,蓝色按钮,142,看起来有些奇怪的按钮,143,
141,凡人的苦难,,"""光芒散去。你坐在图书馆，面前是堆积如山的复习资料。没有马，没有鹿。只有无尽的知识点和背痛。你叹了口气，这才是真实。""",继续复习,152,,,,,
142,草原的欢愉,,"""光芒散去。你变成了一匹健壮的野马，奔跑在蒙古大草原上。前妻（现在是一匹母马）在旁边蹭你的脖子。没有考研，没有房贷，只有青草的香气。""",咴儿咴儿,154,,,,,
143,骡的岛？,,"""光芒散去。你感到一阵头昏脑涨，然后失去了意识""",新的起点,200,,,,,
144,隐藏结局触发,,"""如果你没有按任何按钮，而是站在那里发呆超过了10分钟...""",（发呆中）,145,,,,,
145,缸中之脑,,"""场景突然黑屏。出现一行代码：`Simulation Failed. User Awareness High.` 你发现自己其实是一个被泡在营养液里的大脑，刚才的一切只是最新的“减压疗法”。""",重启系统,200,,,,,
146,彩蛋环节,,"""等等，故事还没完。华强北老板突然出现，捡起了地上的机甲碎片：“这材料不错，能做个至尊版手机壳。”""",老板，我也要一个,147,,,,,
147,老板的馈赠,,"""老板送了你一个“扁桃体Pro Max”手机。你打开手机，发现里面只有一个APP，叫《一键本升博》。""",点开APP,148,什么垃圾软件，卸了,151,,,
148,无限套娃,,"""你点开了APP。突然你感到一阵头晕目眩，昏迷了过去""",不好！,200,,,,,
149,制作人员名单,,"""编剧：。 美术：。 测试：。 感谢游玩本游戏。""",鼓掌,150,,,,,
150,谢谢惠顾,,"""既然都看到这里了，不如放下手机，去看看真正的河南春晚吧。新年快乐，鹿兄。""",再见,100,,,,,
151,摇一摇广告,,"""你刚想点击删除，结果手抖动了1mm，自动触发了摇一摇跳转，打开了这个APP，顿时你感到一阵头晕目眩，失去了意识""",卧槽垃圾广告！,200,,,,,
152,复习是不可能的,res://3瑞天/图片/arknights.png,"""在经历了那么多事后，你静不下心认真复习，于是你干脆掏出手机打开你最爱的游戏明年方舟，打算开一把紧张刺激的界园肉鸽""",摸鱼才是最重要的,153,,,,,
153,异世界,res://3瑞天/图片/unconcious.png,"""你打开了游戏。突然你感到一阵头晕目眩，昏迷了过去""",不好！,200,,,,,
154,飞来横祸,res://3瑞天/图片/meteorite.png,"""悠闲的生活持续了一段时间，直到今天，你刚睡醒就看到天上有一块发着光的黑色陨石直直的朝你砸来，你还没来得及思考，就被陨石砸中，瞬间没了意识""",不好！,200,,,,,
200,苏醒,res://3瑞天/图片/coffin.png,"""你从昏迷中醒来，丧失了先前的记忆。你试图起身，却发现自己躺在一个密不透风的鹿棺内，你正想呼救，此时鹿棺的盖子被缓缓打开，你看到了…一只马娘？""",我这是在哪？,201,什么情况？,201,… … ,201,
201,,res://3瑞天/图片/amaya.png,"""名为阿马娅的少女开口了：""马鹿博士！你没事真是太好了… … 我们在切尔诺科夫，但现在不是说话的时候，我们的首要任务是先救你回骡德岛。时间不多了，这里不安全，快跟我走！""""",起身,202,,,,,
202,,res://3瑞天/图片/sign.png,"""见你什么都想不起来，阿马娅叹了一口气，""博士，若干年前，一场扁桃体炎席卷了这片属于马儿的大地，所有感染的马儿都长出了鹿角，出于对扁桃体炎的恐惧，马儿们驱逐了感染者。现在饱受压迫的他们开始了疯狂的复仇，战争一触即发。而传闻博士您就有着治愈这一切的神秘力量。""""",努力回想,203,,,,,
203,,res://3瑞天/图片/sign.png,"""没关系，博士，等回到骡德岛，我们会想办法找回你的记忆，治愈扁桃体炎的。现在的当务之急是撤离。""",点头,204,,,,,
204,,res://3瑞天/图片/tarua.png,"""你刚跟着阿马娅一行人走出掩埋石棺的废墟，就迎面碰上了一只手持钢管，操纵火焰的鹿女。 ""不好，是鹿管运动的领袖塔鹿拉！博士快退后！""眼看塔鹿拉拿着钢管向你们逼近，阿马娅迅速挡在你身前""",愣住,205,快帮忙！,206,打不过，快跑,207,
205,,res://3瑞天/图片/pot.png,"""你愣了一下，一个趔趄，脚上踢到了什么东西。是一个热水壶，它冥冥之中似乎在召唤你""",捡起热水壶,208,,,,,
206,,res://3瑞天/图片/pot.png,"""你看到地上有一个看起来很精致的热水壶，随手捡了起来想扔过去砸塔鹿拉，却发现此时塔鹿拉的面色变得更可怕了，手中的钢管烧的通红""",坏了，快跑！,208,,,,,
207,,res://3瑞天/图片/run1.png,"""见状不妙，阿马娅一边施法掩护一边拉着你跑向最近的撤离点，你也顺手抓起了脚旁的一个热水壶拿来防身。激烈的追逐后，你们暂时甩掉了塔鹿拉""",我们安全了…暂时的,209,,,,,
208,,res://3瑞天/图片/run2.png,"""见状不妙，阿马娅一边施法掩护一边拉着你跑向最近的撤离点。激烈的追逐后，你们暂时甩掉了塔鹿拉""",我们安全了…暂时的,209,,,,,
209,,res://3瑞天/图片/extration.png,"""撤离点就在眼前，可让你们没想到的是，塔鹿拉竟提前在这里等着你们。烈火焚烧，钢管嘶鸣，眼前的场景宛如地狱。""",只能打一架了吗,210,,,,,
210,,res://3瑞天/图片/dialog.png,"""""我此行并非来取你性命，""塔鹿拉说，""我所要的只是...""她缓缓开口，""你的那对扁桃体。""""",什么？我的扁桃体？,211,,,,,
211,,res://3瑞天/图片/thinking.png,"""你想起来了，作为博士，你拥有永不发炎的原初扁桃体，塔鹿拉此行就是为了你的扁桃体而来。但它是一把双刃剑，有治愈扁桃体炎的潜力，也能化作培养超级扁桃体病毒的温床""",绝不能给你！,212,,,,,
212,,res://3瑞天/图片/thinking.png,"""作为马鹿博士，你深知一旦原初扁桃体落入塔鹿拉之手，她会让整个世界都感染扁桃体炎，绝不能让这样的事情发生。绝处逢生之际，你做出了抉择：""",那就战！,213,不能硬上,214,,,
213,,res://3瑞天/图片/battle.png,"""塔鹿拉实力强大，小队根本不是她的对手，一番苦战过后，只剩你和阿马娅还在苦苦支撑。""",孤注一掷,215,,,,,
214,,res://3瑞天/图片/battle.png,"""塔鹿拉根本不给你思考对策的机会，直接向你袭来。小队根本不是她的对手，一番苦战过后，只剩你和阿马娅还在苦苦支撑。""",孤注一掷,215,,,,,
215,,res://3瑞天/图片/pot.png,"""你抡圆手中的热水壶准备朝塔鹿拉砸去，这时你才注意到热水壶里装的东西好像不太对劲""",里面是什么？,216,,,,,
216,,res://3瑞天/图片/shuanghuanglian.png,"""你闻了闻，里面竟然是双黄连口服液！""",一饮而尽,217,,,,,
217,,res://3瑞天/图片/end.png,"""你的扁桃体开始闪烁耀眼的光芒，强光穿透你的脖子向四周发散，所到之处，被感染的马儿都痊愈如初，恐怖的扁桃体炎被笼罩这片大地的光芒消灭了。但随着光芒逐渐散去，你也再一次失去了意识""",结束了…？,300,,,,,
300,终末地？,res://4bass_Rush/图片/前妻源石.png,"""再度睁开眼睛，是一个熟悉的身影。虽然你失去了很多记忆，但隐约还知道那是你的前妻。“终末地不过是我用来折磨你的手段”她说。然后又死死盯住你的脖子，面容逐渐变的扭曲""",发生什么事了？,301,,,,,
301,不是这样,res://4bass_Rush/图片/前妻源石.png,"""“你为啥直接治愈了扁桃体炎啊？明OO舟里不是这样的。你应该先逃到马门、再合力战胜鹿管运动……明OO舟里根本这样！我不接受！”""眼前的前妻越发狂躁",那咋了？,302,,,,,
302,万事皆休,res://4bass_Rush/图片/锦囊回忆.jpg,"""半晌，她终于冷静了下来。“如果没能走上正确流程的话，你就无法抵达O卫二，只能一辈子是鹿了。那双黄连口服液，一定是某个玩弄时空的家伙放在热水壶里的。……一定还有办法，我记得我没分到的你的婚前财产有三个锦囊。”""",额……我打开了一个,303,,,,,
303,回到未来,res://1基纳Kenner/初始关卡/桑塔纳2000.jpg,"""“没有钥匙的桑塔纳？”她叹口气，然后继续说，“总比马蒂的德罗宁DMC-12好，不是吗？用它把我们送回“指鹿为马”的那个诅咒的最初。”""",这样，按下就能打火？,307,,,,,
304,井盖,res://1基纳Kenner/初始关卡/FFV-013.jpeg,"""“阔剑地雷？很好，我相信它的当量足够把我们加到足够快”""",明明是瑞典产的……,307,,,,,
305,秀荣以外,res://1基纳Kenner/初始关卡/回忆.jpg,"""“一段回忆？”前妻明显来了兴致，“我还以为你的回忆只有肖四肖八。”""",实际上，这好像不属于我,306,我并不认识那样的钱和耳机,306,要怎么做？喊“林克死大头！”？,307,
306,楚汉前事,res://1基纳Kenner/初始关卡/回忆.jpg,"""“我知道，因为这与比巨鹿之战更久远的故事有关。我们可以借由它回去改变你的诅咒”""",难道以前叫“巨马”？,307,,,,,
307,又是穿越,res://3瑞天/图片/end.png,"""我的扁桃体再度闪出光芒……""",还来？,308,,,,,
308,虎哥！又见虎哥！,res://1基纳Kenner/8复仇/复仇.png,"""光芒过后，是昏暗的大厅，以及熟悉的虎哥。他好像刚刚击倒了我的前妻。""",我没计划继续复仇啊？,309,,,,,
309,弥留,res://4bass_Rush/图片/力竭倒下.jpg,"""“对不起，我骗过你很多次。”前妻那样倒在血泊中开始了伤感的陈述。刚刚勇猛的虎哥也面容冷峻的饶有兴致""",这就是传统上的过剧情时间？,310,那我缺的特殊cg谁给我补啊？,,,,
310,没有cg,,"""“很可惜，本作就是这样的。”她苦笑着说，然后吻了我。""",和上次一样没图,311,,,,,
311,一分真相,res://4bass_Rush/图片/力竭倒下.jpg,"""“我来自第三异闻带——人智统合真国，秦。这也解释了为什么我掌握了那样的马头机甲技术，以及，明明其他人变成了马头，而我还是人。”""",不是被剪定了吗？,312,,,,,
312,还有直博,res://4bass_Rush/图片/力竭倒下.jpg,"""“为了取代泛人类史，我们推定出了正史和我们的世界的真正分歧：在我们的世界中，你是博士。”""",我连考研都没考上！,313,,,,,
313,超越硕士,res://4bass_Rush/图片/力竭倒下.jpg,"""她摇摇头，“那我就不知道了，你一定成为了博士。也许是在明OO舟中，如果我没猜错，阿马娅这样称呼你。”""",太棒了，这叫超越硕士,314,,,,,
314,勇气赞歌,res://4bass_Rush/图片/超越硕士.jpg,"""随着我呼唤名字，一具强有力的大只佬在我身旁浮现，连虎哥都吓到了""",生命力量的显现,315,,,,,
315,震撼虎哥,res://1基纳Kenner/8复仇/复仇.png,"""“怪不得我会被你想象出来，原来是因为替身使者会相互吸引。”虎哥说出了再见后的第一句话。""",合理的解释,316,,,,,
316,关羽之歌,res://4bass_Rush/图片/力竭倒下.jpg,"""“没想到你竟然是替身使者。”前妻也不禁赞叹，“那我就释然了。”（闭眼）""",不可能！我前妻天下无敌！,317,,,,,
317,仍有考试,,"""随着前妻的闭眼，整个空间开始像被马啃过一样支离破碎。虎哥（或者其他什么人）发出了巨大的咆哮，你的意识开始模糊，耳边传来了熟悉的“考试现在开始，请考生开始答题。”""",我需要双黄连,318,坚定意志！,319,,,
318,求无所得,,"""真可惜，虽然中医药是五千年的瑰宝，但双黄连口服液应该还没有出现""",哦不……,319,,,,,
319,组会难得,,"""扭曲的空间中走出一位黑色袍子的马头人。“中丞相赵大人说有奇珍异宝要献上。你再不走，这学分的成绩点可保不住了！”""",还有赵高……嗯？,320,,,,,
320,扯断玉锁,,"""我想起来了！我全都想起来了！我不是要考研直博的博士！我不是明OO舟的博士！原来…原来……原来我是大秦的博士！""",手中的毛笔开始取消,321,今日方知我是我,399,,,
321,双黄连之魂,,"""接下来应该是激烈的战斗了！且听下回分解！""",奏响《射落宦官之日》,100,,,,,
399,大彻大悟,,"""比及秦二世见报，急引众臣来看时，马鹿已自坐在虎哥边不动了。""",好结局,100,,,,,
10301,死亡之前,,"""马头人发现了你，并对你用出了星爆碎星拳。你原地去势了。""",好….好大….,103,,,,,
